"review_title","review_text","review_star","veri","revdate","nhelpful1","page_num"
"







  
  
    Best floor machine I’ve ever purchased
  
","









  
  
    
  I was hesitant.  Every gadget holds the big promise of being the best thing ever.  I’m glad I bought the unit.  I’ve had fractured vertebrae and major back surgery.  This machine is so light and easy to use that even with a very bad back, I can use this!  It cleans my textured tile floors spotless.  The suction is unbelievable.  It’s an amazing device.  It’s efficient.  It’s quiet.  Love the self cleaning feature!  Best money I’ve spent in a long time.  It looks durable- I hope it is.  No regrets

  
","5.0 out of 5 stars","1","May 4, 2020","263","1"
"







  
  
    I’m excited to mop when I use this to clean my fooors
  
","


















    
        

        
        
            
        

        
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
            
        
    
    

   Wow! This floor cleaner absolutely blows my mind! It mood and vacuums and chooses on its own which to use with its own sensor. It can even tell the level of dirtiness and use the proper setting. Every time I’ve used it I am immediately start smiling and laughing because it makes it so fun! Once you turn it on you can let it propel itself forward and mop and vacuum depending on what your floor requires. Now I actually enjoy mopping. It arrived with a bottle of solution you mix with water and put in the top container for it to clean with. The bottom container has the filter and where the gray water goes that you will dump. At the end of your cycle you do need to clean everything so it will work fine next use. It even decides whether it should begin a self cleaning cycle when you put it back on the charging base. It comes with an extra filter and the cleaning brush. If you have a lot of bare floors at your house I would definitely recommend this.

  
","5.0 out of 5 stars","1","July 23, 2020","229","1"
"







  
  
    Love it!
  
","









  
  
    
  So, I have a very old dog who has been having problems these days. I was using a traditional mop multiple times a day to clean up after her. Having to prepare mop water every time there was a mess (starting before my coffee!) got to be a tiresome.I initially bought the Tineco iFLOOR Cordless Wet Dry Vacuum Cleaner and Mop, which worked OK for my needs, but then my hubby suggested I the higher end one, TINECO Floor One S3 Cordless Hardwood Floors Cleaner, I was glad I did.TINECO Floor One S3 is a little heavier than the Tineco iFLOOR, but that is OK since it is self propelled once it is powered up. I love that once you put it on the charging mat, it starts a check of the roller to see if it needs to be cleaned. Press a button and self-cleaning starts! Basically, I love this mop! It has saved me a lot of effort when I have to quickly clean up a spot.Cons: Well, there are a few.- Corners. I have found you have to be able to roll over the mess. So, I can't give up my traditional mop altogether, but this works in a pinch.- Modes: it has two - Auto and Max Clean. Wish there were three. Auto, Max Clean and Suction. Wish there was a way to suck up the puddle then mop over it.-Clean Water Tank (CWT) and Dirty Water Tank (DWT). Wish they were bigger. But not a game changer.If you are like me, you research (a lot) before spending hard earned $. Glad I did. This mop is worth every penny.

  
","5.0 out of 5 stars","1","September 25, 2020","114","1"
"







  
  
    A few problems, but still works well
  
","









  
  
    
  It’s nice, but could definitely be better.  The dwt is a pain in the butt to put back on. If you have pets, hair will get clogged in the debris channel, so that will have to be cleaned every few uses or more if you have multiple pets. It doesn’t do that great on dried on messes.What it does do well on is cleaning up spills and dirt brought in by pets or kids.I’ve had it a few weeks now and I use it nearly everyday.

  
","4.0 out of 5 stars","1","April 2, 2021",NA,"134"
"







  
  
    Great for heavy shedding dogs and everything that comes with
  
","









  
  
    
  Perfect for cleaning up with animals. With the winter weather creating muddy paw prints and the puppy in potty training, this has been a life saver. It grabs the undercoat shedding, mud, water, grime and everything else. It even cleaned up dried on poop smears.Its lightweight and easy on the back. My only wish would be for bigger water tanks, but otherwise it is a self sufficient, multi purpose cleaning machine that makes life 10 times easier.My floors have never been this consistently clean!

  
","5.0 out of 5 stars","1","October 31, 2020",NA,"134"
"







  
  
    Easy cleanup
  
","









  
  
    
  Lightweight, sleek design and easy to use. It's very easy to clean all the parts. I've been using it for over 6 months now and haven't had any issues. Picks up hair and cat fur fine, doesn't get stuck in the roller at all.This does a good job cleaning it's great for regular use. I wouldn't use it to deep clean though. I prefer to get out an actual mop, bucket and brush for that.

  
","5.0 out of 5 stars","1","August 15, 2021",NA,"134"
"







  
  
    Good unit, bad availability of cleaning solution
  
","









  
  
    
  The machine works very well. The floors were filthy in the home we just bought and it really did a great cleaning job. The problem is the manufacturer says to only use their cleaning solution or it may damage the cleaner and the cleaning solution can't be found.

  
","3.0 out of 5 stars","1","May 4, 2021",NA,"134"
"







  
  
    I love it BUT
  
","


















    
        

        
        
            
        

        
            
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
        
    
    

   THE CHARGING STATION IS HORRIBLE. I sent the product back to them so that they can fix it and yup they did “repair” it. It charged for at least 1 min then it went crazy again. So now I have this expensive product that I have only used probably about 5 times and now I can’t recharge it. The video attached to this is the “AFTER THEY FIXED IT”

  
","1.0 out of 5 stars","1","August 13, 2021",NA,"134"
"







  
  
    Do not buy this crap
  
","









  
  
    
  I bought this via Amazon in may 2021 and by September it was not working I followed everything in the manual , cared fir it  m, and I got to where it kept saying pls empty dirty water and it would shut off and there was nit debris or dirty water on tank , no water at all , I called Tineco over and over snd emailed them and got no reply … very poor member service and Amazon charged me $80 restocking fee to return it which was nice of them but it still sucked cause I got robbed

  
","2.0 out of 5 stars","1","October 17, 2021",NA,"134"
"







  
  
    The Best Floor Cleaner!
  
","









  
  
    
  I love it! I couldn't believe how much dirt was on my floor, until I used this Tineco I floor 3. It vacuumed and mopped the floor leaving no residue behind. My floors dried right away. I used the Tineco floor cleaner it came with. A little goes a long way.

  
","5.0 out of 5 stars","1","March 21, 2021",NA,"134"
"







  
  
    Simple and fast!
  
","









  
  
    
  I’ve been doing double time for years - sweeping and then mopping/shining. This really does it all in 1 step! And dries fast! I took pictures as I was doing it and it was already almost dry!

  
","5.0 out of 5 stars","1","December 6, 2021","2","134"
"







  
  
    Unfortunate
  
","









  
  
    
  After 7 weeks of use, the vaccum is not working-- need to call customer service. Unfortunately, their customer service number says, ""they can't take call"" and they don't have a chat function. I am sure their customer service will call my better half back within the 48 hour period stated?

  
","1.0 out of 5 stars","1","April 29, 2021","1","134"
"







  
  
    Recommend for sure
  
","









  
  
    
  I use this everyday!! I do have a pretty big home, all tile so I can't do the whole house on one charge.  The clean and dirty water containers are small so even doing half my home I need to dump dirty and refill clean water container. I don't mind it because using this makes it so much easier to clean my floors!

  
","5.0 out of 5 stars","1","April 18, 2021",NA,"134"
"







  
  
    Throw out your old steam mop
  
","









  
  
    
  Pros: - Vacuums while I mop - Cleans FAR better than my old steam mop ever could - Far quicker and easier to use than my regular old mop and bucket, too - Self-cleaning cycle really gets the job done; just rinse out the dirty water tank afterwards and put it up to dry, and it'll be good to go for next time - Battery lasts as long as my motivation does 🤣Cons: - Dirty water tank fills up pretty quickly, so including the self-cleaning cycle afterwards, I need to empty the dirty water tank 3 or 4 times per cleaning session - Including the self-cleaning cycle afterwards, I need to fill the clean water tank twice per cleaning session - ""Twist handle to steer"" mechanism doesn't feel as natural as I've come to expect from devices with the upright-vacuum form factor. Not a deal-breaker, just a bit odd 🤷‍♂️

  
","4.0 out of 5 stars","1","May 22, 2021","1","23"
"







  
  
    Not good for paw prints and can't find solution
  
","


















    
        

        
        
            
        

        
            
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
        
    
    

   So let me start by saying I do love this mop. It's cordless function makes it so easy to move around the house and the dirty water tank is always brown so I know it's sucking up dirt. However, it doesn't do a good job for paw prints which is the main reason I got it. I have 2 huskies so I always have dirty pawprints in my house. The flaw here comes from not being able to control the amount of water that comes out. When the floors are covered in prints it looks like its not spitting out any water hardly. To fix this issue I have to use my bissel spin wave to break up the tough prints and then I go back with the tineco to pick up the residual dirt. I'm still having to vacuum twice for a job that I was hoping this would conquer no problem. It takes forever to charge and I have to clean and refill the tank at least 4 to 5 times to do my whole house (if I can get through it in 30 minutes).Sexond: you have to use the tineco cleaning solution or you void your warranty. I havent even picked this thing up in months because I ran out of solution and It's always out of stock. What good does it do me to have a mop I can't use.Overall it does a good job at picking up dirt but it doesn't make my life any easier.

  
","3.0 out of 5 stars","1","March 11, 2021","1","23"
"







  
  
    Cleaned some but not worth the $280
  
","









  
  
    
  The money is spent on this wasn't worth the little amount of cleaning it did. I would describe it as superficial. We have vinyl planking and also aggregate concrete. It did a horrible job on the aggregate just made a liquidy mess and didn’t reach the small texture cracks in the vinyl however the water did come out dirtyish( by no means black or filthy). Also when i ran it in on my vinyl planking i would run it for 2 minutes and then the self cleaning indicator would start flashing i would have to run over and run it on a self cleaning then would have to refill the reservoir and then run it again for two minutes. The hassle was not worth the trouble.  If you have one consistent flooring like concrete, epoxy or linoleum it might be better.

  
","1.0 out of 5 stars","1","May 4, 2021","3","23"
"







  
  
    Better than a mop
  
","









  
  
    
  Been looking for a reasonably priced cordless hard floor cleaner. This had good reviews and seemed comparable in function to competitor. Was simple to operate, doing the job as hoped. Due, I presume to the battery, it isn't as light as I would like.  For doing local area cleaning, the battery charge of ~25 minutes is adequate. For doing multiple rooms, intermittent charging is necessary between use. Overall, satisfied with purchase.

  
","4.0 out of 5 stars","1","August 18, 2020","5","23"
"







  
  
    Great for a no carpet house
  
","









  
  
    
  Just moved into a house with all hard floors, so I didn't want to deal with mopping the whole house using my Libman mop (washable pads, on board cleaning solution that you spray as you go).  This Tineco cleans very well!  I swept before I mopped the first time, and I couldn't believe the guck I still had in the dirty tray!  The water was almost black it was so dirty.  Thankfully, subsequent mopping produced considerably less dirty water and much less guck.  My house is fairly small, around 1,300 sf.  I was able to mop the whole house on one charge and two containers of cleaning solution.  Also able to go over the kitchen and main room twice, which I did because I couldn't mop the whole house on one clean solution cup.  Cleaning the parts after mopping is also easy.  Everything comes out,  is easily cleaned and then reassembles without a problem.  You do need to let the parts air dry first, or there will be a smell.  Lesson learned.Wish I could say the same for every model carpet cleaner I've ever owned...

  
","5.0 out of 5 stars","1","February 28, 2022",NA,"23"
"







  
  
    Overall worth it with a few minor design flaws
  
","









  
  
    
  Pros: I love this thing. It' so nice to not have to vacuum before scrubbing my floors. Such a time saver overall. I love the self cleaning feature as well. & personally I think the battery lasts longer than what it says. The suction is definitely great & it definitely cleans better than any other hardwood cleaner I've used. My floors look so much better. I also love that it uses so little of the cleaning solution per tank. The talking feature is probably unnecessary but makes it feel fancy & nice that it tells you exactly what it needs.Cons: I wish both the clean & dirty water tanks were a little larger bc I feel like I'm constantly emptying/refilling them. & I also wish it connected to the charging station better. When I set it on the charging station, it picks up that it's on there immediately & says ""charging has commenced"" & then checks to see if it needs to run the self cleaning cycle.. If it runs the cycle, you're required to empty the dirty water tank again, only problem is that when you slightly bump it to remove or replace the dirty water tank, it starts the ""charging has commenced"" & checking to see if it needs to run the self cleaning cycle all over again which can just end up being an annoying never ending cycle. Also when it self cleans, if you have pets, it definitely still needs a solid wipe down around where the roller brush connects (still so much better than others I've had though)... The fur just really collects there. We have real wood floors so the divots between the planks seem to be deeper than laminate & light ring seems to get thrown off by those divots & will turn red when I run it across them & it seems like it struggles with dark grout in between tiles as well but I didn't buy it for the ring feature. The only other nit picky thing I can say is that I wish they included a harder brush roll instead of 2 soft ones for things like day old drop of spaghetti sauce that hit the floor & I didn't get to type of thing, sometimes it just doesn't scrub hard enough & I still have to get down & scrub with a hard sponge or use my hoover floormate that has harder bristles to clean up.Either way I definitely recommend it. I've talked 3 of my friends who have pets & muddy-boot boyfriend/husband's as well & I have no regrets. I don't have kids but I'm sure if I did it would be a life saver.

  
","4.0 out of 5 stars","1","April 26, 2021",NA,"23"
"







  
  
    Works great but has its flaws
  
","









  
  
    
  I have all tile floors, 1900 Sq foot, cleaning wise it does a great job BUT the tiny tanks have to be refilled (clean water) and emptied (dirty tank) multiple times during one use. Then i have to do the self clean in between each one as well.. time consuming & frustrating so I do not use it as often as I had hoped, better for cleaning one area at a time which I rather do it all at once. Would be better with larger tanks or for a smaller house/hard floor area.. Battery lasts thru the whole house so that's nice. The clean after use is also a bit much taking it all apart washing and let dry and then reassembling. I'll stick with my o'cedar mop & shark vacuum. Wish I didn't spend the money on this but Lesson learned!

  
","3.0 out of 5 stars","1","September 24, 2021","1","23"
"







  
  
    Breaks easily
  
","









  
  
    
  I loved the vacuum when I opened it and used it for the first time. When I went to use it again, it was broken and didn’t work. So sad!

  
","1.0 out of 5 stars","1","January 7, 2021","12","23"
"







  
  
    I would like my refund please
  
","









  
  
    
  I don’t like this vacuum I thought it will be amazing it’s waste of money. So much hard work

  
","1.0 out of 5 stars","1","January 22, 2021","10","23"
"







  
  
    I like my o cedar bucket and mop better
  
","









  
  
    
  I bought this based on all the rave, but I’m not personally understanding the hype. I have to change the water and refill the solution several times throughout a cleaning session. The battery doesn’t last long enough to complete the house(1,800 sq ft total, not all tile/hardwood); not even long enough to finish the living room and kitchen! As for “recognizing” dirty spots, I had a very clear stain/dirty spot on the floor and despite my efforts to get the tineco to recognize the spot as dirty, it wouldn’t. Overall, I just prefer my o cedar bucket and mop.

  
","2.0 out of 5 stars","1","May 8, 2021","2","23"
"







  
  
    Great
  
","









  
  
    
  Life changing good. My house is happy my floors are clean I have three large dogs and things have never been cleaner. Makes you feel good to walk into a house with clean floors I used to spend an hour sweeping in mopping. This has made  a huge difference in a good way.

  
","5.0 out of 5 stars","1","November 23, 2021",NA,"108"
"







  
  
    It literally Stinks.
  
","









  
  
    
  I have had this product for two years now and almost wish I'd never spent the money on it.  I still need to steam my floors.  I get streaks on my floor and no matter how many times I deep clean manually this machine... it literally stinks.  It makes my house smell  I wish I could return this product.  Not worth the money.  Not worth the hype.

  
","2.0 out of 5 stars","1","February 18, 2022",NA,"108"
"







  
  
    Love this!
  
","









  
  
    
  Not sure how this compares to the Bissell crosswave but I love it! So much better than mopping to me! Floors dry way faster due to there not being much water left on them. Easy to empty and refill as well! I have not to had to use it on any heavily soiled surfaces so I'm not sure how it would do with that.

  
","5.0 out of 5 stars","1","April 18, 2021",NA,"108"
"







  
  
    WORTH EVERY PENNY!
  
","


















    
        

        
        
            
        

        
            
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
        
    
    

   The tineco ifloor 3 does amazing job on my kitchen floors & my hard wood floors. I even use it on my rug in my living room that works wonders. Best thing I’ve ever brought my self to make cleaning easy on me. Since I have two dogs and two cats. Suction & deep cleans very good as you can see in the video. The best part is that it mops and vacuums at the same time. Very easy to clean & well worth it.

  
","5.0 out of 5 stars","1","February 28, 2022",NA,"108"
"







  
  
    Works surprisingly well
  
","









  
  
    
  My only complaint is that the clean and dirty water tanks are a bit on the small side. The battery should be smaller and the reservoirs larger. In a single charge you have to empty and fill maybe 8 times? Overall I like it and would buy it again.

  
","5.0 out of 5 stars","1","July 25, 2021",NA,"108"
"







  
  
    BEST MOP VACUUM!!!!!
  
","









  
  
    
  I enjoy everything about this vacuum. I was a little worried about the battery life being ONLY 25 mins...(I believe) but it literally only goes down one bar after cleaning my 1,267 sq. ft house.LOVE the self clean option, it leaves my floors looking brand new! Highly Recommend if you have pets!

  
","5.0 out of 5 stars","1","April 4, 2021",NA,"108"
"







  
  
    Convenient
  
","









  
  
    
  The solution often times pool's while vacuuming. It doesn't last very long in between cleanings.  If you have pets,  best to sweep up loose fur rather than use this as it just drags fur around and wets it.

  
","3.0 out of 5 stars","1","December 31, 2021","1","108"
"







  
  
    back saver
  
","









  
  
    
  The is the best purchase I have made this year.  No more lugging a bucket and mop around!  No more dreading the job.  I just walk over to my cleaner, grab it, make sure it has adequate water and cleaner and go to town.  Big, bam, boom!  The job is done and I am on my way to do something else.

  
","5.0 out of 5 stars","1","August 1, 2021",NA,"108"
"







  
  
    Great bang for buck
  
","









  
  
    
  I'm really excited about this new toy.  I hate mopping and I also hate dirty floors.  I have two kids, a cat, and a dog.  And a Dyson, which is sort of great, except I still need to mop.  Not anymore.I was skeptical about this wet vac but am talking it up to all my friends now.  It's easy and perfect for keeping the kitchen and high traffic areas clean.  I love the feeling that dirt from my floors is depositing in the dirty water tank than spread around by a mop.  My floors look and feel great, and I can walk barefoot again.  It even picks up pet fur.The one drawback is its battery life.  I wish it was longer because the first few times I ran it for a deep clean, I tried to get a big area but needed to recharge the unit.  Now that I'm doing more maintenance cleaning, it's fine.

  
","5.0 out of 5 stars","1","August 28, 2020",NA,"108"
"







  
  
    Great machine
  
","









  
  
    
  Easy to use and my tile floors just keep looking better and better the more I use it. I was amazed how much easier it is to use than mopping.

  
","5.0 out of 5 stars","1","May 1, 2021","1","108"
"







  
  
    Wife loves it....and so do I
  
","









  
  
    
  Great product, quality and functionality for an amazing price.

  
","5.0 out of 5 stars","1","April 25, 2021",NA,"295"
"







  
  
    Highly recommended
  
","









  
  
    
  Love it, it really deep cleans. Love how it left my floor.

  
","4.0 out of 5 stars","1","March 13, 2021",NA,"295"
"







  
  
    Totally worth it
  
","









  
  
    
  Amazing! Highly recommend

  
","5.0 out of 5 stars","1","October 17, 2020",NA,"295"
"







  
  
    Response
  
","









  
  
    
  N/A

  
","4.0 out of 5 stars","1","May 15, 2021",NA,"295"
"







  
  
    Love this .. wish I had ordered one sooner
  
","









  
  
    
  Love love love. Wished I had ordered sooner

  
","5.0 out of 5 stars","1","May 12, 2021",NA,"295"
"







  
  
    Excellent deep cleaning vacuum
  
","









  
  
    
  It has super suction power and cleans hard to get dirt off the floor.

  
","5.0 out of 5 stars","1","November 5, 2020",NA,"295"
"







  
  
    Great floor vacuum
  
","









  
  
    
  I like that is core less and clean pretty good

  
","5.0 out of 5 stars","1","August 26, 2021",NA,"295"
"







  
  
    OMGOSH!!
  
","









  
  
    
  OBSESSED!!! Thank you, TikTok, for making this brand famous.

  
","5.0 out of 5 stars","1","April 26, 2021",NA,"295"
"







  
  
    Lightweight,
  
","









  
  
    
  Love this machine!  Makes cleaning my hardwood floors a breeze

  
","5.0 out of 5 stars","1","April 14, 2021",NA,"295"
"







  
  
    The best purchased item yet!
  
","









  
  
    
  This is the holy grail of floor cleaning!

  
","5.0 out of 5 stars","1","March 15, 2021",NA,"295"
"







  
  
    Get ready to fall in 💕 with cleaning!
  
","









  
  
    
  So I got this about 4 days ago and have mopped rooms multiple times because it’s so nice! I am in love with cleaning now. The cleaning solution has a very pleasant smell that stays for a while. It’s so nice walking into a room you have cleaned and keep smelling that clean smell.I recommend not vacuuming up larger/dirtier than usual areas before starting to use this. It is able to pick up dog hair and other debris but it will clog faster than starting with light dirt.Compared to a steam mop this is by far better! The steam mop just pushes the dirt while this mop vac sucks up the dirty water.I also tried this on the carpet where one of my dogs threw up(I know eewww!). I picked up the larger peices and used this to finish. Amazing at how it picked it up! No scrubbing on your hands and knees. (I have temporary, cheap, dark grey, flat “office” carpet where this mess was)Last but not least let it charge completely before enjoying! I was so impatient to try it and the battery died quick🤪. Fully charged gave me plenty of time to mop my house with time to spare.

  
","5.0 out of 5 stars","1","December 4, 2021",NA,"24"
"







  
  
    put your swifter away
  
","









  
  
    
  Swifter on steroids.we have all tile in the house and all hardwood floors in the bedroom. The wet swifter was not cutting it, It just felt like we were moving the dog hari around,Featuring iLoop(TM) smart sensor technology, detects wet/dry messes on sealed hard floors and intelligently adjusts suction power and water flow for completely clean results. Floors dry quickly and streak free”That was techie for me for sure but sounded great and,  cool and actually  works you can sure tell the difference. We have a dog with water and other stuff.  It has allowed us to combine our cleaning and save time. I love having my daughter do it for sure.As mentioned, it is cordless (super bonus) and lightweight  so my daughter uses it almost every day, just put it back on the charger and your good to go. Battery lifr is good she does the house one day the rooms the next we make her run it till it diesThe all-in-one LED display built in app connectivity and helpful voice assistant monitors cleaning performance for the ultimate hard floor cleaning experience. This was weird at first but works just as “Alexa” was weird.

  
","5.0 out of 5 stars","1","August 15, 2020","1","24"
"







  
  
    Wish I had bought this sooner
  
","









  
  
    
  I have been super hesitant about spending the money on a vac-mop for months, finally decided to after days of rain and mud. I wish I had gotten one so much sooner! I have laminate flooring and it uses less water than I do with a regular mop, it dries in 1-2 minutes. The auction power is great for bringing the water back up and the maneuverability is great with the swivel feature. You can’t over fill the water tank or lean it too far back or it will leak, which is a totally reasonable thing to work with. As for deep cleaning, if you have something like dried ketchup on the floor, I advise to scrub that by hand if you have laminate or let it soak if you have a waterproof floor. The vacuum will not scrub up long dried on messes.I have two dogs and two kids with lots of in and outs, mud and messes. My boxer is a slobberer and like to drink then walk around the kitchen dropping everywhere. A quick run over with this and the floor is no longer slimy.

  
","5.0 out of 5 stars","1","January 17, 2021","1","24"
"







  
  
    It Works! A True Back Saver!!
  
","









  
  
    
  I'll admit to being very skeptical about this product. We have three dogs and all hardwood, tile, and laminate floors throughout the house so keeping the floors clean is a real chore, especially during Virginia's ""mud season"" which is roughly from October through April. After a lot of reading of reviews, watching video reviews, and comparing this to the Bissell products, I made the decision to try the Tineco Floor One S3. I'm sure glad I did!Pros:- Super easy to assemble.- Lightweight- VERY quiet!- It does exactly what it's supposed to do... clean the floors without leaving a mess and dry quickly - no streaks!- It cleans itself after you're done.- Dirty water tank is very easy to clean (please dump it into the toilet, not your sink!! It captures all of the dog hair and gook on your floors which will clog your drains)- It picks up thick dog hair with no problem and doesn't clog- It uses very little water but still does a great job cleaning!- Uses very little cleaning solution which saves you money- Battery lasts for quite a while (it says 35 minutes, but it cleans so fast, I've never had to use it all up yet)- Max mode scrubs well- It doesn't scratch your floors- SO MUCH EASIER THAN A MOP AND SO MUCH FASTER!Cons:- Tineco cleaning solution never seems to be in stock (I haven't had to reorder it yet, but I have been checking their website daily and it's often out of stock)- It doesn't quite get to the edges of your floors. You might need to do a little cleaning at the edges on your own but this is pretty simple all things considered.  Overall, I couldn't be more pleased with this product. I'll check back in a few months and update this review if anything changes, but it is a lifesaver. If you have pets of any size and a lot of hard floors, you will thank yourself for purchasing this. While it is expensive, it is worth every penny. I highly recommend it!

  
","5.0 out of 5 stars","1","April 11, 2021",NA,"24"
"







  
  
    Excellent vac mop. LOVE IT!
  
","









  
  
    
  This works great for everyday cleaning except it cannot get off stuck on messes. I use it on porcelain tile. It cleans great and leaves the floor almost dry. Self cleaning function works awesome. I do not think the sensors are very accurate though. It does not get down into grout, very close to edges or really scrub the floor hard. But I do not mind any of those negatives. It is an excellent vac mop. I love that I can just mop without vacuuming or sweeping before. I use it about every 2 days and it keeps the floor very clean. A little heavier than I expected. Feels about twice as heavy as a handheld cordless Dyson, but not hard to push at all. The self propelled function is awesome. It is easy to clean out. I would recommend washing it out after each use and leaving the brush roller part open to dry and air out to avoid any stink. It is a lot easier than a regular mop and bucket. I still use my OCedar on occasion but this works so well and is awesome!I can clean my entire tile areas of roughly 2500 sq feet on a single charge and refill water 1 time. It is a little bit of a hassle to empty the tank and the machine does talk A LOT. I do wish you could mute it because it does have lit icons if it needs water or to empty tank, etc.I use it to clean the floor regularly and to pick up spills and messes of all sorts. It is very expensive but it makes my life easier so I do not mind the price. I have been using it for 2 months now and love it!

  
","5.0 out of 5 stars","1","June 4, 2021",NA,"24"
"







  
  
    Finally-Clean Floors!!!
  
","









  
  
    
  I rarely write reviews, but great products deserve mention.  After using countless other products such as brooms, vacuums, swiffers, mops, shark steamers, etc. there is finally a swiss army knife for my hardwood floors.  I was skeptical at first, but this thing works and works very well for 90% of my needs.  I sweep, vacuum and steam my at least 3 times a week.  I usually sweep first, vacuum and then steam clean my floors twice to ensure I have cleaned up as much dirt as possible, yet I always felt like I am just spreading wet dirt around.  After doing this process, I used the Tineco and man, this thing sucked up some dirt and a lot of it.  I always suspected this, but the water was filthy and I couldn't believe how much grime this sucked out of my hardwoods.  I cleaned the machine and pad, then used it again a few hours later and it was the water was still pretty brown.  The third time did the trick and now my floors are looking brand new again.  For kicks, I spilled some coffee , dirt from my vacuum and coffee grinds on the floor and this worked as advertised.  The only thing it doesn't do well is scrub out tougher stains/pots like splash of coke that is dried up, but once you get those few things up with some elbow grease and some stronger cleaning solution, this thing does everything else.  In summary, I absolutely love this machine.  My cleaning time has been cut but more than 50% using only one device and I now know the dirt is being removed instead of being slopped around.  I no longer have that sticky feel under my feet and my floors look as good as new again.  Highly recommended!  I just hope it lasts for 2 years or more.  Only time will tell.

  
","4.0 out of 5 stars","1","September 26, 2020","1","24"
"







  
  
    Vacuum doesn’t connect to charging base
  
","









  
  
    
  This product was great the 3 months it lasted. Vacuums and mops great BUT I had so many issues that for the price seemed EXTREMELY RIDICULOUS. Within the first week the machine gave me an error message I called TINECO they gave me instructions went to try and vacuum was magically working again. Then I had an issue with the vacuum connecting to our wifi contacted again no response, voice assistant stopped working and finally the last and worst the whole vacuum stopped charging. Which means I have about $400 sitting around 🥲🙃 contacted TINECO and have had about 20 emails back and forth with them. They’re supposedly sending me a charging base, we’ll wait and see if that’s the actual issue.

  
","1.0 out of 5 stars","1","January 17, 2021","4","24"
"







  
  
    Should give it 10 stars!
  
","









  
  
    
  This wonderful product has made my life so much easier! I have two dogs (one is a very heavy shedder) and two cats so fighting the hair on the floor is always a problem. We have all vinyl plank flooring so sweeping and then going back over to mop or steam it took a lot of time. This cuts the time in half and does a great job on getting the hair up and leaving the floors clean. Just be ready to go when you turn it on because it’s self-propelled and eager to get to work.I think the only thing I would change is to have a larger clean water tank. Since it is self-propelled and there is no need to push it I think the extra weight wouldn’t be a problem and it would save time by not having to stop and fill it so often. But that’s a small complaint for all this machine does for me.The self cleaning feature is really great. Just put it on the docking pad and hit the self clean button. Cleaning the dirty water tank is easy and fast.The only problem I found is that it does leak dirty water back on the floor if you stop it and let it sit. For that reason I always wheel it directly to the docking pad when done so dirty water doesn’t get back on the floor. After that the self cleaning takes care of the problem.I researched the internet for similar products extensively before making my decision on this model and I’m so glad I did. I highly recommend this machine to anyone. My husband used it for the first time the other day and gave it an enthusiastic two thumbs up as well.

  
","5.0 out of 5 stars","1","April 19, 2021",NA,"24"
"







  
  
    Amazing wood floor wet vacuum
  
","









  
  
    
  Cleans really well- I used to use swiffer wet jet- it would take a lot of “man” power to press down hard and get the floors clean . This is really easy and light weight.  It pulls so you can feel the power it has!The only down fall to me is the battery life- only last 20-25 minutes(but the website/manufacturers tell you that so I can’t really say I didn’t expect it) .It’s amazing how much dirt it gets that you didn’t know you had!!Love it so much!

  
","4.0 out of 5 stars","1","October 26, 2020","3","24"
"







  
  
    Charging station BEWARE
  
","









  
  
    
  Worked great UNTIL IT WOULD CHARGE! Purchased in July. Stopped fully charging in December. Costumer service is painful! Despite proof of purchase and unlimited emails and photos, we’re now asked to return the entire unit. No telling how long this will go on... I’ll keep you posted

  
","1.0 out of 5 stars","1","April 15, 2021","6","24"
"







  
  
    My real hardwood floors look amazing!
  
","









  
  
    
  This is amazing! I have a salon with real hardwood floors. I was skeptical about how much water was going to be left on the floor. After using it for the first time, this thing is a game changer! I can’t believe how much it vacuumed up and how perfect my floor looks after the water is sucked up. There is barely any water left on the floor at all and it dries quickly. There are no streaks and no hair left behind. It has cut my cleaning time in half. I recommend this to anyone with real wood floors and even ceramic floors, what an amazing job it does!  The vacuum is light weight and had plenty of charge for the entire salon.

  
","5.0 out of 5 stars","1","April 25, 2021",NA,"71"
"







  
  
    Just okay.
  
","









  
  
    
  Just okay. Got it to replace my bissell crosswave that I wasn’t happy with. It’s not any better than the crosswave and the battery life was significantly worse so I ended up returning it.I have all hardwood and tile flooring and the battery life would only allow me to do one small room or half of a living room at a time.It did not work well on stuck on food or dirt messes from my kids and pets.Ended up getting a bissell steam mop which works better than anything else I’ve tried for a fraction of the price.

  
","3.0 out of 5 stars","1","May 20, 2021",NA,"71"
"







  
  
    This gadget does it all!!!
  
","


















    
        

        
        
            
        

        
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
            
        
    
    

   I can not say enough good things about this product. Extremely easy to use and works so well. We have a long haired dog so sheds constantly. I used this vacuum 2 days ago when it first arrived and was shocked at how much filth it captured after it had only been 5 days since I mopped. The video I posted is just 2 days later..... it is a little gross cleaning out the hair from the vent when the hair is wet BUt... other than that it's amazing! I love all of the features and how easy to use it is. My 6 year old even loves to help clean floors now.

  
","5.0 out of 5 stars","1","June 27, 2021",NA,"71"
